,s0_wip,s1_wip,s2_wip,s3_wip,total_wip,finish,state
298,0,1,4,1,6,0,正常
299,1,1,4,0,6,1,正常
300,0,1,5,0,6,1,正常
301,1,1,5,0,7,1,正常
302,0,1,6,0,7,1,正常
303,0,1,5,1,7,1,正常
304,0,0,6,1,7,1,正常
305,0,0,6,0,6,2,正常
306,1,0,6,0,7,2,正常
307,0,1,6,0,7,2,正常
308,0,1,6,0,7,2,正常
309,0,0,6,1,7,2,正常
310,0,0,6,1,7,2,正常
311,0,0,6,0,6,3,正常
312,1,0,6,0,7,3,正常
313,0,1,6,0,7,3,正常
314,0,1,6,0,7,3,正常
315,0,0,6,1,7,3,正常
316,0,0,6,1,7,3,正常
317,0,0,6,0,6,4,正常
318,1,0,6,0,7,4,正常
319,0,1,6,0,7,4,正常
320,0,1,6,0,7,4,正常
321,0,0,6,1,7,4,正常
322,0,0,6,1,7,4,正常
323,0,0,6,0,6,5,正常
324,1,0,6,0,7,5,正常
325,0,1,6,0,7,5,正常
326,0,1,6,0,7,5,正常
327,0,0,6,1,7,5,正常
328,1,0,0,0,1,0,正常
329,0,1,0,0,1,0,正常
330,1,1,0,0,2,0,正常
331,0,1,1,0,2,0,正常
332,1,1,1,0,3,0,正常
333,0,1,2,0,3,0,正常
334,1,1,2,0,4,0,正常
335,0,1,3,0,4,0,正常
336,1,1,3,0,5,0,正常
337,0,1,4,0,5,0,正常
338,1,1,3,1,6,0,正常
339,0,1,4,1,6,0,正常
340,1,1,4,0,6,1,正常
341,0,1,5,0,6,1,正常
342,1,1,5,0,7,1,正常
343,0,1,6,0,7,1,正常
344,1,1,5,1,8,1,正常
345,0,1,6,1,8,1,正常
346,0,1,6,0,7,2,正常
347,1,0,7,0,8,2,正常
348,0,1,7,0,8,2,正常
349,0,1,7,0,8,2,正常
350,0,0,7,1,8,2,正常
351,0,0,7,1,8,2,正常
352,0,0,7,0,7,3,正常
353,1,0,7,0,8,3,正常
354,0,1,7,0,8,3,正常
355,0,1,7,0,8,3,正常
356,0,0,7,1,8,3,正常
357,0,0,7,1,8,3,正常
358,0,0,7,0,7,4,正常
359,1,0,7,0,8,4,正常
360,0,1,7,0,8,4,正常
361,0,1,7,0,8,4,正常
362,0,0,7,1,8,4,正常
363,0,0,7,1,8,4,正常
364,0,0,7,0,7,5,正常
365,1,0,7,0,8,5,正常
366,0,1,7,0,8,5,正常
367,0,1,7,0,8,5,正常
368,0,0,7,1,8,5,正常
369,1,0,0,0,1,0,正常
370,0,1,0,0,1,0,正常
371,1,1,0,0,2,0,正常
372,0,1,1,0,2,0,正常
373,1,1,1,0,3,0,正常
374,0,1,2,0,3,0,正常
375,1,1,2,0,4,0,正常
376,0,1,3,0,4,0,正常
377,1,1,3,0,5,0,正常
378,0,1,4,0,5,0,正常
379,1,1,3,1,6,0,正常
380,0,1,4,1,6,0,正常
381,1,1,4,0,6,1,正常
382,0,1,5,0,6,1,正常
383,1,1,5,0,7,1,正常
384,0,1,6,0,7,1,正常
385,1,1,5,1,8,1,正常
386,0,1,6,1,8,1,正常
387,1,1,6,0,8,2,正常
388,0,1,7,0,8,2,正常
389,1,1,7,0,9,2,正常
390,0,1,8,0,9,2,正常
391,0,1,7,1,9,2,正常
392,0,0,8,1,9,2,正常
393,0,0,8,0,8,3,正常
394,1,0,8,0,9,3,正常
395,0,1,8,0,9,3,正常
396,0,1,8,0,9,3,正常
397,0,0,8,1,9,3,正常
398,0,0,8,1,9,3,正常
399,0,0,8,0,8,4,正常
400,1,0,8,0,9,4,正常
401,0,1,8,0,9,4,正常
402,0,1,8,0,9,4,正常
403,0,0,8,1,9,4,正常
404,0,0,8,1,9,4,正常
405,0,0,8,0,8,5,正常
406,1,0,8,0,9,5,正常
407,0,1,8,0,9,5,正常
408,0,1,8,0,9,5,正常
409,0,0,8,1,9,5,正常
410,1,0,0,0,1,0,正常
411,0,1,0,0,1,0,正常
412,1,1,0,0,2,0,正常
413,0,1,1,0,2,0,正常
414,1,1,1,0,3,0,正常
415,0,1,2,0,3,0,正常
416,1,1,2,0,4,0,正常
417,0,1,3,0,4,0,正常
418,1,1,3,0,5,0,正常
419,0,1,4,0,5,0,正常
420,1,1,3,1,6,0,正常
421,0,1,4,1,6,0,正常
422,1,1,4,0,6,1,正常
423,0,1,5,0,6,1,正常
424,1,1,5,0,7,1,正常
425,0,1,6,0,7,1,正常
426,1,1,5,1,8,1,正常
427,0,1,6,1,8,1,正常
428,1,1,6,0,8,2,正常
429,0,1,7,0,8,2,正常
430,1,1,7,0,9,2,正常
431,0,1,8,0,9,2,正常
432,1,1,7,1,10,2,正常
433,0,1,8,1,10,2,正常
434,0,1,8,0,9,3,正常
435,1,0,9,0,10,3,正常
436,0,1,9,0,10,3,正常
437,0,1,9,0,10,3,正常
438,0,0,9,1,10,3,正常
439,0,0,9,1,10,3,正常
440,0,0,9,0,9,4,正常
441,1,0,9,0,10,4,正常
442,0,1,9,0,10,4,正常
443,0,1,9,0,10,4,正常
444,0,0,9,1,10,4,正常
445,0,0,9,1,10,4,正常
446,0,0,9,0,9,5,正常
447,1,0,9,0,10,5,正常
448,0,1,9,0,10,5,正常
449,0,1,9,0,10,5,正常
450,0,0,9,1,10,5,正常
451,1,0,0,0,1,0,正常
452,0,1,0,0,1,0,正常
453,1,1,0,0,2,0,正常
454,0,1,1,0,2,0,正常
455,1,1,1,0,3,0,正常
456,0,1,2,0,3,0,正常
457,1,1,2,0,4,0,正常
458,0,1,3,0,4,0,正常
459,1,1,3,0,5,0,正常
460,0,1,4,0,5,0,正常
461,1,1,3,1,6,0,正常
462,0,1,4,1,6,0,正常
463,1,1,4,0,6,1,正常
464,0,1,5,0,6,1,正常
465,1,1,5,0,7,1,正常
466,0,1,6,0,7,1,正常
467,1,1,5,1,8,1,正常
468,0,1,6,1,8,1,正常
469,1,1,6,0,8,2,正常
470,0,1,7,0,8,2,正常
471,1,1,7,0,9,2,正常
472,0,1,8,0,9,2,正常
473,1,1,7,1,10,2,正常
474,0,1,8,1,10,2,正常
475,1,1,8,0,10,3,正常
476,0,1,9,0,10,3,正常
477,1,1,9,0,11,3,正常
478,0,1,10,0,11,3,正常
479,0,1,9,1,11,3,正常
480,0,0,10,1,11,3,正常
481,0,0,10,0,10,4,正常
482,1,0,10,0,11,4,正常
483,0,1,10,0,11,4,正常
484,0,1,10,0,11,4,正常
485,0,0,10,1,11,4,正常
486,0,0,10,1,11,4,正常
487,0,0,10,0,10,5,正常
488,1,0,10,0,11,5,正常
489,0,1,10,0,11,5,正常
490,0,1,10,0,11,5,正常
491,0,0,10,1,11,5,正常
492,1,0,0,0,1,0,正常
493,0,1,0,0,1,0,正常
494,1,1,0,0,2,0,正常
495,0,1,1,0,2,0,正常
496,1,1,1,0,3,0,正常
497,0,1,2,0,3,0,正常
498,1,1,2,0,4,0,正常
499,0,1,3,0,4,0,正常
500,1,1,3,0,5,0,正常
501,0,1,4,0,5,0,正常
502,1,1,3,1,6,0,正常
503,0,1,4,1,6,0,正常
504,1,1,4,0,6,1,正常
505,0,1,5,0,6,1,正常
506,1,1,5,0,7,1,正常
507,0,1,6,0,7,1,正常
508,1,1,5,1,8,1,正常
509,0,1,6,1,8,1,正常
510,1,1,6,0,8,2,正常
511,0,1,7,0,8,2,正常
512,1,1,7,0,9,2,正常
513,0,1,8,0,9,2,正常
514,1,1,7,1,10,2,正常
515,0,1,8,1,10,2,正常
516,1,1,8,0,10,3,正常
517,0,1,9,0,10,3,正常
518,1,1,9,0,11,3,正常
519,0,1,10,0,11,3,正常
520,1,1,9,1,12,3,正常
521,0,1,10,1,12,3,正常
522,0,1,10,0,11,4,正常
523,1,0,11,0,12,4,正常
524,0,1,11,0,12,4,正常
525,0,1,11,0,12,4,正常
526,0,0,11,1,12,4,正常
527,0,0,11,1,12,4,正常
528,0,0,11,0,11,5,正常
529,1,0,11,0,12,5,正常
530,0,1,11,0,12,5,正常
531,0,1,11,0,12,5,正常
532,0,0,11,1,12,5,正常
533,1,0,0,0,1,0,正常
534,0,1,0,0,1,0,正常
535,1,1,0,0,2,0,正常
536,0,1,1,0,2,0,正常
537,1,1,1,0,3,0,正常
538,0,1,2,0,3,0,正常
539,1,1,2,0,4,0,正常
540,0,1,3,0,4,0,正常
541,1,1,3,0,5,0,正常
542,0,1,4,0,5,0,正常
543,1,1,3,1,6,0,正常
544,0,1,4,1,6,0,正常
545,1,1,4,0,6,1,正常
546,0,1,5,0,6,1,正常
547,1,1,5,0,7,1,正常
548,0,1,6,0,7,1,正常
549,1,1,5,1,8,1,正常
550,0,1,6,1,8,1,正常
551,1,1,6,0,8,2,正常
552,0,1,7,0,8,2,正常
553,1,1,7,0,9,2,正常
554,0,1,8,0,9,2,正常
555,1,1,7,1,10,2,正常
556,0,1,8,1,10,2,正常
557,1,1,8,0,10,3,正常
558,0,1,9,0,10,3,正常
559,1,1,9,0,11,3,正常
560,0,1,10,0,11,3,正常
561,1,1,9,1,12,3,正常
562,0,1,10,1,12,3,正常
563,1,1,10,0,12,4,正常
564,0,1,11,0,12,4,正常
565,1,1,11,0,13,4,正常
566,0,1,12,0,13,4,正常
567,0,1,11,1,13,4,正常
568,0,0,12,1,13,4,正常
569,0,0,12,0,12,5,正常
570,1,0,12,0,13,5,正常
571,0,1,12,0,13,5,正常
572,0,1,12,0,13,5,正常
573,0,0,12,1,13,5,正常
574,1,0,0,0,1,0,正常
575,0,1,0,0,1,0,正常
576,1,1,0,0,2,0,正常
577,0,1,1,0,2,0,正常
578,1,1,1,0,3,0,正常
579,0,1,2,0,3,0,正常
580,1,1,2,0,4,0,正常
581,0,1,3,0,4,0,正常
582,1,1,3,0,5,0,正常
583,0,1,4,0,5,0,正常
584,1,1,3,1,6,0,正常
585,0,1,4,1,6,0,正常
586,1,1,4,0,6,1,正常
587,0,1,5,0,6,1,正常
588,1,1,5,0,7,1,正常
